product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,social connectedness,environment,self_sufficiency,transparency_authenticity,tradition,individuality,diversity_equality,privacy,status,thrift_value,innovation,fun_adventure,health
BOSS HUGO BOSS Men's Starfish Swim Trunk,Apparel,4,0,0,N,N,Good quality,"The quality is good, fits good but I didnt pay enough attention to the picture, it does look like the picture, its above the knee, could be fine for someone but I dont like to look like a basketball player from the 80's",6/23/2014,0,0,0,0,0,1,0,0,0,1,0,0,0
Vedette Megane Firm Compression Sensual Corset #136,Apparel,4,1,2,N,Y,I like this bodyshaper.,This body shaper does what it says. It makes your clothes look nice and looks as if you have lost 5-10 pounds. It's also great to be able to open from the bottom to use the bathroom. The bad things is that your skin doesn't breathe and it caused my skin to sweat and itch.,9/1/2013,0,0,0,0,0,1,0,0,0,1,0,0,1
Adult Stilinski 24 Beacon Hills Lacrosse 2-Sided Hoodie,Apparel,5,0,0,N,Y,Nice hoodie,"It looks well made. I bought it for my granddaughter's birthday and have not given it to her yet, but I think she will love it. It looks true to size.",8/3/2015,1,0,0,0,0,0,0,0,0,1,0,0,0
Carhartt Men's Sherpa Lined Sandstone Hooded Multi Pocket Jacket J284,Apparel,5,3,3,N,Y,Size Small Means Medium,"Other than the sizing that is bigger than the usual (as is Carhartt tradition), the jacket is just what I wanted. It is medium/heavy warmth, coated with durable sandstone duck, and well constructed. I'm looking forward to wearing this in more, and the sherpa isn't itchy (in case you were wondering). I'll update this review over time with anything major that changes, but for now this is another great Carhartt!",10/2/2014,0,0,0,0,0,0,0,0,1,1,0,0,1
Roxy Juniors Gallery Backpack,Apparel,5,0,0,N,Y,Five Stars,Love my backpack.,9/15/2014,0,0,0,0,0,0,0,0,0,0,0,0,0
Nautica Men's Berber Quilted Jacket,Apparel,5,0,0,N,Y,Five Stars,good style and fit well.Five stars.,3/4/2015,0,0,0,0,0,1,0,0,0,1,0,0,0
Nat Nast Men's The Hopper Shirt,Apparel,4,0,1,N,Y,Four Stars,a little small。。。,8/11/2015,0,0,0,0,0,0,0,0,0,0,0,0,0
GOT 1080P? - Unisex Adult Trucker Hat,Apparel,1,0,1,N,Y,One Star,It's to small,8/31/2014,0,0,0,0,0,0,0,0,0,0,0,0,0
i play. Baby Boys' Snap Reusable Absorbent Swim Diaper,Apparel,5,0,0,N,Y,He's diaper free and he's loving it,"Super Cute, great price! We use as intended without an additional diaper.",12/19/2014,0,0,0,0,0,1,0,0,0,1,0,0,0
LEE Men's Regular Fit Bootcut Jean,Apparel,5,0,0,N,N,Really good value item and service excellent. In case anyone needs to know the jeans are standard fit with bootcut leg.,Really good value item and service excellent. In case anyone needs to know the jeans are standard fit with bootcut leg.,1/18/2011,0,0,0,0,0,0,0,0,0,1,0,0,0
